"Estimates of the components of demographic growth, annual 1",,,,,,,,,,
Annual,,,,,,,,,,
Table: 17-10-0008-01 (formerly CANSIM 051-0004),,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,
,,,,,,,,,,
Geography,Reference period,Births 2 3,Deaths 4 5,Immigrants 6,Emigrants 7 8,Returning emigrants 8 9,Net temporary emigrants 8 10,Net interprovincial migration 11,Net non-permanent residents 12 13 14,Residual deviation 15
,2014 / 2015,"139,963","97,645","89,672","29,321","18,688","13,168","-8,695","2,195","12,124"
,2015 / 2016,"139,924","97,163","120,346","30,703","19,044","13,169","9,077","31,349","10,429"
,2016 / 2017,"140,298","101,650","98,428","26,374","19,603","13,318","13,382","66,852",0
,2017 / 2018,"141,957","105,572","132,472","26,688","19,838","13,477","9,944","87,456",..
Manitoba,1997 / 1998,"14,414","9,573","3,093","1,765",650,560,"-5,276",171,-207
,1998 / 1999,"14,473","9,926","3,293","1,731",846,560,"-2,113",470,-207
,1999 / 2000,"14,431","9,740","4,207","1,633","1,174",561,"-3,456",236,-207
,2000 / 2001,"13,939","9,873","4,837","1,604","1,044",563,"-4,323",350,-334
,2001 / 2002,"13,746","9,720","4,825","1,370","1,027",789,"-4,344",655,"-1,196"
,2002 / 2003,"13,765","9,852","4,902","1,765","1,395",790,"-2,875",940,"-1,196"
,2003 / 2004,"13,981","9,894","7,417","1,617","1,211",788,"-2,565",697,"-1,200"
,2004 / 2005,"14,031","10,015","7,686","1,476","1,060",787,"-7,227",558,"-1,196"
,2005 / 2006,"14,270","9,634","8,880","1,804",854,787,"-7,881",897,-503
,2006 / 2007,"14,842","9,962","10,789","1,711","1,088",420,"-5,500","1,059","4,296"
,2007 / 2008,"15,391","10,058","10,739","1,743","1,227",421,"-3,703","1,201","4,309"
,2008 / 2009,"15,731","9,974","12,963","1,573","1,252",420,"-3,111",210,"4,297"
,2009 / 2010,"15,952","9,908","14,117","1,663","1,045",421,"-2,412",-190,"4,296"
,2010 / 2011,"15,614","10,265","15,839","1,604","1,247",423,"-3,517",-233,"3,789"
,2011 / 2012,"15,983","10,089","15,091","1,544","1,398",349,"-4,212",778,730
,2012 / 2013,"16,488","10,195","12,701","1,495","1,464",348,"-5,006","1,764",728
,2013 / 2014,"16,334","10,300","15,482","1,553","1,316",349,"-6,851","1,043",728
,2014 / 2015,"16,703","10,911","14,801","1,907","1,204",349,"-6,678","1,078",728
,2015 / 2016,"16,747","10,424","17,407","1,767","1,221",350,"-4,881","4,585",626
,2016 / 2017,"16,967","11,020","15,684","1,633","1,275",352,"-5,124","5,082",0
,2017 / 2018,"17,218","11,162","14,160","1,653","1,291",357,"-7,148","6,036",..
Saskatchewan,1997 / 1998,"12,711","8,859","1,599",917,293,513,"-1,940",256,"3,200"
,1998 / 1999,"12,677","8,851","1,752","1,054",325,514,"-4,333",389,"3,199"
,1999 / 2000,"12,524","8,939","1,671",956,235,512,"-7,947",174,"3,209"
,2000 / 2001,"12,084","9,001","1,843","1,215",359,512,"-8,410",217,"2,691"
,2001 / 2002,"11,996","8,650","1,818",763,280,362,"-8,820",313,-756
,2002 / 2003,"11,794","8,880","1,560",787,331,360,"-5,141",306,-756
,2003 / 2004,"12,121","9,130","1,894",668,486,363,"-4,521",320,-758
,2004 / 2005,"11,915","8,828","2,099",593,449,361,"-9,515",295,-756
,2005 / 2006,"12,178","8,877","2,108",625,327,361,"-7,083",287,-860
,2006 / 2007,"12,523","8,993","3,095",634,633,208,"1,549",229,"-1,578"
,2007 / 2008,"13,630","9,293","4,291",554,555,208,"4,171","1,143","-1,583"
,2008 / 2009,"13,897","9,011","5,928",712,697,209,"2,983","2,263","-1,579"
,2009 / 2010,"14,239","9,028","7,204",783,636,209,"2,153",834,"-1,578"
,2010 / 2011,"14,438","9,380","7,554",743,710,208,545,653,"-1,014"
,2011 / 2012,"14,422","9,103","11,439","1,001",721,486,"1,878","2,255","2,396"
,2012 / 2013,"14,886","9,313","9,828",705,459,487,392,"3,311","2,390"
,2013 / 2014,"15,157","9,427","12,328",955,651,486,"-1,839",203,"2,389"
,2014 / 2015,"15,420","9,425","11,378","1,045",679,488,"-4,528","-1,614","2,389"
,2015 / 2016,"15,518","9,377","15,151","1,144",631,488,"-4,272","1,057","2,056"
,2016 / 2017,"15,483","9,483","14,319",816,816,493,"-5,760",873,0
,2017 / 2018,"15,480","9,537","14,995",825,826,499,"-8,475",87,..
Alberta,1997 / 1998,"37,369","16,815","11,648","6,820","3,018","2,934","43,089",983,320
,1998 / 1999,"38,154","16,860","11,243","5,563","2,670","2,934","25,191","2,045",320
,1999 / 2000,"37,836","17,050","12,865","5,484","2,810","2,934","22,674","1,111",322
,2000 / 2001,"37,197","17,591","16,202","6,435","2,598","2,931","20,457","3,371","-1,042"
,2001 / 2002,"37,602","17,937","16,689","5,562","3,886","3,152","26,235","2,304","-10,256"
,2002 / 2003,"39,450","18,098","13,630","5,509","3,950","3,152","11,903","2,206","-10,256"
,2003 / 2004,"40,635","18,776","17,116","6,404","4,037","3,154","10,606","1,258","-10,285"
,2004 / 2005,"41,345","19,066","17,441","5,529","4,728","3,152","34,423","2,654","-10,256"
,2005 / 2006,"43,193","19,560","19,930","6,316","5,003","3,151","45,795","5,723","-9,049"
,2006 / 2007,"47,558","19,803","20,156","7,108","6,125","2,299","33,809","13,597",-678
,2007 / 2008,"49,949","20,568","23,804","7,585","3,634","2,299","15,317","18,778",-679
,2008 / 2009,"51,308","21,040","25,159","7,668","4,216","2,300","13,184","19,603",-678
,2009 / 2010,"51,522","20,670","30,005","6,936","4,040","2,300","-3,271",19,-677
,2010 / 2011,"50,853","21,318","30,451","6,801","5,414","2,299","8,443","-7,121",674
,2011 / 2012,"51,315","21,528","34,541","8,225","4,981","2,220","27,652","7,836","8,834"
,2012 / 2013,"53,076","22,404","36,794","7,656","4,944","2,218","38,598","14,140","8,811"
,2013 / 2014,"54,782","22,747","41,004","7,592","5,260","2,217","35,382","7,575","8,810"
,2014 / 2015,"56,333","24,129","39,587","8,332","5,359","2,218","21,594","-18,541","8,810"
,2015 / 2016,"56,925","23,972","57,841","9,002","5,105","2,218","-15,108","-10,422","7,579"
,2016 / 2017,"54,819","24,932","44,089","8,041","4,800","2,243","-15,559","-5,451",0
,2017 / 2018,"53,811","25,992","38,697","8,137","4,857","2,271","-3,247",-540,..
British Columbia,1997 / 1998,"43,587","27,878","40,456","8,190","3,057","6,067","-10,029","-1,274",-868
,1998 / 1999,"42,587","27,765","34,274","8,448","3,113","6,069","-14,484","4,185",-869
,1999 / 2000,"41,605","27,680","36,946","9,480","2,549","6,068","-14,610","3,723",-870
,2000 / 2001,"40,367","27,815","39,543","8,579","2,468","6,066","-8,286","6,910",822
,2001 / 2002,"39,932","28,699","38,024","11,958","3,901","4,925","-8,556","8,155","12,260"
,2002 / 2003,"40,534","28,694","31,924","12,837","4,866","4,923","-1,037","6,345","12,260"
,2003 / 2004,"40,206","29,863","36,712","13,987","4,815","4,923","7,865","2,637","12,293"
,2004 / 2005,"40,632","30,333","40,577","12,883","5,678","4,925","8,214","5,711","12,260"
,2005 / 2006,"41,192","30,311","43,846","12,296","6,607","4,926","8,800","4,858","12,038"
,2006 / 2007,"42,379","30,957","37,811","13,259","6,181","5,798","15,005","8,328","10,500"
,2007 / 2008,"44,142","31,977","43,220","12,163","5,695","5,798","14,643","11,119","10,529"
,2008 / 2009,"44,690","31,436","42,375","11,240","5,403","5,800","9,995","17,683","10,500"
,2009 / 2010,"44,641","31,399","43,871","11,589","5,913","5,799","8,728","11,174","10,500"
,2010 / 2011,"43,908","31,699","38,947","11,809","5,334","5,797","3,421",399,"6,146"
,2011 / 2012,"43,768","32,256","36,250","13,258","5,576","5,237","-2,711","12,420","-20,113"
,2012 / 2013,"44,181","32,913","35,738","12,873","5,486","5,236","-1,868","10,734","-20,059"
,2013 / 2014,"43,856","33,155","37,520","12,978","5,884","5,237","9,475","11,603","-20,058"
,2014 / 2015,"44,480","34,839","31,672","12,771","6,462","5,234","20,379",-923,"-20,059"
,2015 / 2016,"44,699","35,585","43,242","13,172","6,747","5,234","26,573","-1,664","-17,256"
,2016 / 2017,"44,925","38,265","35,397","12,160","6,345","5,295","18,834","15,202",0
,2017 / 2018,"44,191","37,946","41,916","12,305","6,419","5,360","13,989","26,033",..
